#      ID           Name         RA        DEC      X      Y       F_int     F_peak  F_int(fit)  F_pk(fit)  Maj(fit)  Min(fit) P.A.(fit) Maj(fit_deconv.)   Min(fit_deconv.) P.A.(fit_deconv.)      Alpha      Beta  Chisq(fit)  RMS(image)  RMS(fit) Nfree(fit) NDoF(fit) NPix(fit) NPix(obj) Guess?
#      --             --      [deg]      [deg]  [pix]  [pix]        [Jy]  [Jy/beam]        [Jy]  [Jy/beam]  [arcsec]  [arcsec]     [deg]         [arcsec]           [arcsec]             [deg]         --        --          --   [Jy/beam] [Jy/beam]         --        --        --        --     --
      91a J122116-440622 185.317825 -44.106399 1588.0 1338.1     0.00267     0.0050      0.0064     0.0050    70.598    46.679    148.65           39.300           15.61179            296.42  -0.007551   0.00000      0.0843     0.00077     0.065          6        13        20        20      0
      92a J122117-460530 185.321741 -46.091838 1567.7  623.7     0.01061     0.0112      0.0125     0.0115    61.906    45.565    148.17           19.828           11.85826            295.61  -0.880078   0.00000      5.4534     0.00042     0.301          6        53        60        60      0
      93a J122120-445554 185.335184 -44.931822 1575.6 1041.2     0.01080     0.0101      0.0152     0.0104    62.352    60.022    165.29           41.248           20.35276            300.25   0.003646   0.00000      1.5771     0.00071     0.173          6        46        53        53      0
      94a J122120-443201 185.335531 -44.533510 1579.3 1184.5     0.01112     0.0116      0.0147     0.0122    67.685    45.692    145.68           33.814           12.27749            292.64   0.013060   0.00000      4.0324     0.00073     0.284          6        43        50        50      0
      95a J122122-441432 185.343295 -44.242277 1580.1 1289.4     0.00344     0.0057      0.0076     0.0058    69.371    48.294    154.77           37.829           18.40891            303.96   0.020459   0.00000      0.1983     0.00083     0.093          6        16        23        23      0
      96a J122122-451741 185.345288 -45.295153 1569.5  910.5     0.00691     0.0069      0.0113     0.0071    85.207    48.297    145.52           61.818           19.91766            291.91   0.016419   0.00000      3.0965     0.00066     0.262          6        38        45        45      0
      97a J122123-452334 185.347776 -45.392768 1568.0  875.4     0.00185     0.0033      0.0050     0.0034    68.946    55.321    135.63           39.474           29.68293            282.32   0.016999   0.00000      0.0425     0.00053     0.046          6        13        20        20      0
      98a J122125-450808 185.356907 -45.135638 1568.1  968.0     0.02464     0.0225      0.0296     0.0233    67.313    48.620    146.74           33.023           20.72757            294.01  -1.201894   0.00000     19.4311     0.00078     0.539          6        60        67        67      0
      99a J122128-443910 185.367517 -44.652260 1570.0 1142.0     0.37268     0.3672      0.3672     0.3672    58.661    43.973    147.38            0.012            0.00055            294.77  -1.437924   0.00000    999.0000     0.00076     0.000          0         0         0       120      1
     100a J122129-461318 185.371260 -46.222118 1554.1  577.1     0.00189     0.0030      0.0040     0.0030    66.253    52.186    143.44           31.682           27.09956            290.63   0.010560   0.00000      0.0667     0.00040     0.052          6        18        25        25      0
     101a J122132-443309 185.385341 -44.552651 1566.4 1178.0     0.00833     0.0083      0.0130     0.0085    78.154    50.514    128.72           53.915           19.44397            268.32   0.004673   0.00000      2.5749     0.00074     0.237          6        39        46        46      0
     102a J122133-425338 185.390187 -42.893972 1580.3 1774.8     0.03315     0.0335      0.0476     0.0348    69.363    50.796    137.47           38.581           22.98293            282.92   0.011349   0.00000      3.3018     0.00242     0.262          6        41        48        48      0
     103a J122135-435347 185.396374 -43.896311 1569.6 1414.2     0.00827     0.0085      0.0131     0.0088    71.693    53.545    140.62           41.911           29.59122            286.63   0.022022   0.00000      1.1202     0.00080     0.160          6        37        44        44      0
